Channel Id,Channel Url,Channel Title
UCVGOyzms_XJNk_DHqrffXCw,http://www.youtube.com/channel/UCVGOyzms_XJNk_DHqrffXCw,Windows
UCVJ2GFJzJgwyN7eWWWSpcHA,http://www.youtube.com/channel/UCVJ2GFJzJgwyN7eWWWSpcHA,Vailskibum
UCVTQuK2CaWaTgSsoNkn5AiQ,http://www.youtube.com/channel/UCVTQuK2CaWaTgSsoNkn5AiQ,HBO
UCVg2AVe6eTCTVoWQ9AwrIHg,http://www.youtube.com/channel/UCVg2AVe6eTCTVoWQ9AwrIHg,In Deep Geek
UCVjENL9S739HfE4Y3PvokcQ,http://www.youtube.com/channel/UCVjENL9S739HfE4Y3PvokcQ,Uncle Al Plus
UCVqoigIqNacy9xMnEDZzN_Q,http://www.youtube.com/channel/UCVqoigIqNacy9xMnEDZzN_Q,Harry Potter Theory
UCVrEHNmwOcTM85daIG6PSVg,http://www.youtube.com/channel/UCVrEHNmwOcTM85daIG6PSVg,Andy Jiang
UCW7h-1mymnJ96akzjrmiIgA,http://www.youtube.com/channel/UCW7h-1mymnJ96akzjrmiIgA,Capcom USA
UCWAKxzKNvdbbGGwBVkZR31Q,http://www.youtube.com/channel/UCWAKxzKNvdbbGGwBVkZR31Q,Chessed Gamon
UCWOA1ZGywLbqmigxE4Qlvuw,http://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw,Netflix
UCWfXR0-F7MI-TbqikgEdJcQ,http://www.youtube.com/channel/UCWfXR0-F7MI-TbqikgEdJcQ,SEGA
UCWqaLMyus0Tjve-rGaPVbaw,http://www.youtube.com/channel/UCWqaLMyus0Tjve-rGaPVbaw,ElecTwo
UCWzLmNWhgeh3h1j-M-Isy0g,http://www.youtube.com/channel/UCWzLmNWhgeh3h1j-M-Isy0g,TheRussianBadger
UCX8Jlq8WLYOTLlDVlHUOHhA,http://www.youtube.com/channel/UCX8Jlq8WLYOTLlDVlHUOHhA,Don't Mind Joe 
UCXO2ZE-H4ZVjJDjTuQzv-Bw,http://www.youtube.com/channel/UCXO2ZE-H4ZVjJDjTuQzv-Bw,Supercell
UCX_kOlX9HLzihXlCkrZnmvA,http://www.youtube.com/channel/UCX_kOlX9HLzihXlCkrZnmvA,Massoyan Jewelers
UCXwSr00tKwa4AUA3Vr6jBpg,http://www.youtube.com/channel/UCXwSr00tKwa4AUA3Vr6jBpg,David O. Lundell
UCY1kMZp36IQSyNx_9h4mpCg,http://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober
UCYLRZEuxWBa0tmOkCZQMbtg,http://www.youtube.com/channel/UCYLRZEuxWBa0tmOkCZQMbtg,Tai Rebuilds
UCYsltmLzINnQX2nZyiRRpoQ,http://www.youtube.com/channel/UCYsltmLzINnQX2nZyiRRpoQ,Toby Stubbs
UCZGYJFUizSax-yElQaFDp5Q,http://www.youtube.com/channel/UCZGYJFUizSax-yElQaFDp5Q,Star Wars
UCZSvcx5livf9FGEcibVLSHw,http://www.youtube.com/channel/UCZSvcx5livf9FGEcibVLSHw,A2Z
UCZXeRF4LiG4edJ72M1EKquw,http://www.youtube.com/channel/UCZXeRF4LiG4edJ72M1EKquw,ZachTheBold
UCZbWCodPFwH2QQn772QnUxQ,http://www.youtube.com/channel/UCZbWCodPFwH2QQn772QnUxQ,Fire Department Chronicles
UCZft8Ol-dMtguwam7bWItnw,http://www.youtube.com/channel/UCZft8Ol-dMtguwam7bWItnw,BrodyAnimates
UCZtahmVxUazzanXrOjNglsg,http://www.youtube.com/channel/UCZtahmVxUazzanXrOjNglsg,munchiweeb
UC_3rZIKC-FvhYwM76LGDp7Q,http://www.youtube.com/channel/UC_3rZIKC-FvhYwM76LGDp7Q,RageTrain
UC_5niPa-d35gg88HaS7RrIw,http://www.youtube.com/channel/UC_5niPa-d35gg88HaS7RrIw,Disney
UC_976xMxPgzIa290Hqtk-9g,http://www.youtube.com/channel/UC_976xMxPgzIa290Hqtk-9g,Walt Disney Animation Studios
UC_GQ4mac4oN3wl1UdbFuTEA,http://www.youtube.com/channel/UC_GQ4mac4oN3wl1UdbFuTEA,ibxtoycat
UC_IRYSp4auq7hKLvziWVH6w,http://www.youtube.com/channel/UC_IRYSp4auq7hKLvziWVH6w,Pixar
UC_ntXHv-XdKCD7CPynVvnQw,http://www.youtube.com/channel/UC_ntXHv-XdKCD7CPynVvnQw,Bandai Namco Entertainment America
UCaA9MrklxFwJD0IdQfKXVFg,http://www.youtube.com/channel/UCaA9MrklxFwJD0IdQfKXVFg,Mossy Jake
UCaE8wcoknscuxnmYzhP3TYg,http://www.youtube.com/channel/UCaE8wcoknscuxnmYzhP3TYg,GetMadz Lite
UCbKWv2x9t6u8yZoB3KcPtnw,http://www.youtube.com/channel/UCbKWv2x9t6u8yZoB3KcPtnw,Alan Becker
UCbbQalJ4OaC0oQ0AqRaOJ9g,http://www.youtube.com/channel/UCbbQalJ4OaC0oQ0AqRaOJ9g,Jay Foreman
UCchBatdUMZoMfJ3rIzgV84g,http://www.youtube.com/channel/UCchBatdUMZoMfJ3rIzgV84g,Viva La Dirt League
UCd4t3EEUy0LUOM4MTdjpNHA,http://www.youtube.com/channel/UCd4t3EEUy0LUOM4MTdjpNHA,The Style Theorists
UCdIt7cmllmxBK1-rQdu87Gg,http://www.youtube.com/channel/UCdIt7cmllmxBK1-rQdu87Gg,The Stupendous Wave
UCdghqkfbwVTexUetxD4leNA,http://www.youtube.com/channel/UCdghqkfbwVTexUetxD4leNA,hChatNation
UCdzWUj73tVt8kzQi8KSrLYg,http://www.youtube.com/channel/UCdzWUj73tVt8kzQi8KSrLYg,Vaseline Noodles
UCeEBqe56GnEy2e6CRZe8hWw,http://www.youtube.com/channel/UCeEBqe56GnEy2e6CRZe8hWw,Red Five
UCebCiZVmcaB8WDxcvIMVNlQ,http://www.youtube.com/channel/UCebCiZVmcaB8WDxcvIMVNlQ,Geek Music
UCfWNZIJkm268rLO_yeRlcww,http://www.youtube.com/channel/UCfWNZIJkm268rLO_yeRlcww,Business Basics
UCfsvdC4UyhOfgGc1oISg-3g,http://www.youtube.com/channel/UCfsvdC4UyhOfgGc1oISg-3g,Goombanna
UCftyIWbjCPJs4KSrFciMqkA,http://www.youtube.com/channel/UCftyIWbjCPJs4KSrFciMqkA,NintendoBlackCrisis
UCgGyN4DSZ6mrcw0ARHikzYw,http://www.youtube.com/channel/UCgGyN4DSZ6mrcw0ARHikzYw,ProfessorBiggy
UCghPFyXBc8ObPyoJ9ifeN0Q,http://www.youtube.com/channel/UCghPFyXBc8ObPyoJ9ifeN0Q,Goji Center
UCgwv23FVv3lqh567yagXfNg,http://www.youtube.com/channel/UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO
UChFur_NwVSbUozOcF_F2kMg,http://www.youtube.com/channel/UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo
UChPRO1CB_Hvd0TvKRU62iSQ,http://www.youtube.com/channel/UChPRO1CB_Hvd0TvKRU62iSQ,Harry Potter
UCiZKQvmrtQzecByWmMg7fnw,http://www.youtube.com/channel/UCiZKQvmrtQzecByWmMg7fnw,Master Builder Alec 
UCisy6taOAeLfyaCqcMQDfig,http://www.youtube.com/channel/UCisy6taOAeLfyaCqcMQDfig,Max Klymenko
UCj4zC1Hfj-uc90FUXzRamNw,http://www.youtube.com/channel/UCj4zC1Hfj-uc90FUXzRamNw,Phoenix SC
UCjBp_7RuDBUYbd1LegWEJ8g,http://www.youtube.com/channel/UCjBp_7RuDBUYbd1LegWEJ8g,Xbox
UCjmJDM5pRKbUlVIzDYYWb6g,http://www.youtube.com/channel/UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros.
UCjuKQCmKlCtrPL2wl1uIphQ,http://www.youtube.com/channel/UCjuKQCmKlCtrPL2wl1uIphQ,MorePegasus
UCjztW-DlDg05_YM6-oTJTPA,http://www.youtube.com/channel/UCjztW-DlDg05_YM6-oTJTPA,Jonny RaZeR
UCkapkfGuO2LnDpIp8f_p7gA,http://www.youtube.com/channel/UCkapkfGuO2LnDpIp8f_p7gA,Beyond the Brick
UCkmP59n7648ESU0PJsJMiRw,http://www.youtube.com/channel/UCkmP59n7648ESU0PJsJMiRw,RelaxAlax
UClHbjVXWB1rCNfB-MQDw-Nw,http://www.youtube.com/channel/UClHbjVXWB1rCNfB-MQDw-Nw,Korean Comic
UClUVQJQL-yGKYiceiJpNg2Q,http://www.youtube.com/channel/UClUVQJQL-yGKYiceiJpNg2Q,Randy Feltface
UCmXQs4aZSk4eL5MIimvwMVQ,http://www.youtube.com/channel/UCmXQs4aZSk4eL5MIimvwMVQ,Josiah Schneider
UCmbP8tvKwBWeK9pf5dT8Onw,http://www.youtube.com/channel/UCmbP8tvKwBWeK9pf5dT8Onw,Swrve
UCmo9ZEJ3ipgaZdkiRRYtLAg,http://www.youtube.com/channel/UCmo9ZEJ3ipgaZdkiRRYtLAg,Dude Perfect Plus
